associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	NoncycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
HARS1	Patient1	0	643	0.0	374490.39021549217	0	1717	0	0	0	213	220	210	16.0	12.0	0.0	350427.35042735044	0.0	343215.6738910269	0.023255813953488372	0.5844087697483993	-0.17353599110426718						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient10	0	402	0.0	288378.7661406025	0	1394	0	0	0	149	148	105	16.0	25.0	0.0	350427.35042735044	0.0	343215.6738910269	0.16996047430830039	3.921630153652424	3.7609742224897835	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient11	0	252	0.0	184345.28163862473	0	1367	0	0	0	87	82	83	16.0	30.0	0.0	350427.35042735044	0.0	343215.6738910269	-0.006060606060606061	0.12727525210187848	-0.7054823652511709						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient12	0	520	0.0	290340.59184812946	0	1791	0	0	0	168	175	177	16.0	23.0	0.0	350427.35042735044	0.0	343215.6738910269	-0.005681818181818182	0.1379040666578844	-0.6931140764552505						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient13	0	548	0.0	247069.43192064922	0	2218	0	0	0	191	182	175	16.0	28.0	0.0	350427.35042735044	0.0	343215.6738910269	0.0196078431372549	0.47714213845252457	-0.29835750031793884						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient14	0	464	0.0	271662.7634660422	0	1708	0	0	0	152	157	155	16.0	27.0	0.0	350427.35042735044	0.0	343215.6738910269	0.00641025641025641	0.15227350756472052	-0.6763929836151051						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient15	0	988	0.0	383987.56315584923	0	2573	0	0	0	325	322	341	16.0	9.0	0.0	350427.35042735044	0.0	343215.6738910269	-0.02865761689291101	0.7729067000447507	0.09694181252531085	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient16	0	647	0.0	509047.9937057435	0	1271	0	0	0	198	217	232	16.0	1.0	0.0	350427.35042735044	0.0	343215.6738910269	-0.0334075723830735	0.8458309110949425	0.18180054232352458	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient17	0	543	0.0	442542.7872860636	0	1227	0	0	0	196	161	186	16.0	5.0	0.0	350427.35042735044	0.0	343215.6738910269	-0.07204610951008646	1.747205076878507	1.2306904196328887						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient18	0	594	0.0	428262.4369142033	0	1387	0	0	0	197	210	187	16.0	6.0	0.0	350427.35042735044	0.0	343215.6738910269	0.05793450881612091	1.4374829398507414	0.8702802518701567						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
