Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	NoncycloHaplotypeDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.3	Patient1	0	0	0	0	0	0	0	0	0	1717		0.0		30.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	0.0				0.0	0.0						
PB.161541.3	Patient10	0	0	0	0	0	2	0	2	0	1394		1434.7202295552368		24.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	3.0		0.6666666666666666	-1.0	0.0	0.0						
PB.161541.3	Patient11	0	0	0	0	2	1	0	3	0	1367		2194.5866861741038		19.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	6.0		0.5	0.3333333333333333	0.0	0.0						
PB.161541.3	Patient12	0	0	0	0	0	0	0	0	0	1791		0.0		30.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	2.0		0.0		0.0	0.0						
PB.161541.3	Patient13	0	0	0	0	0	1	0	1	0	2218		450.8566275924256		28.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	2.0		0.5	-1.0	0.0	0.0						
PB.161541.3	Patient14	0	0	0	2	0	4	0	6	0	1708		3512.88056206089		15.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	6.0		1.0	-1.0	0.0	0.0						
PB.161541.3	Patient15	0	0	0	6	2	5	0	13	0	2573		5052.467936261173		10.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	15.0		0.8666666666666667	-0.42857142857142855	0.0	0.0						
PB.161541.3	Patient16	0	0	0	1	0	1	0	2	0	1271		1573.5641227380015		22.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	3.0		0.6666666666666666	-1.0	0.0	0.0						
PB.161541.3	Patient17	0	0	0	0	6	2	0	8	0	1227		6519.967400162999		7.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	14.0		0.5714285714285714	0.5	0.0	0.0						
PB.161541.3	Patient18	0	0	0	5	3	2	0	10	0	1387		7209.805335255947		6.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	12.0		0.8333333333333334	0.2	0.0	0.0						
PB.161541.3	Patient19	0	0	0	8	5	8	0	21	0	1548		13565.891472868218		2.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	22.0		0.9545454545454546	-0.23076923076923078	2.1646184712917043	4.087673572929198	1.0	1.0	1.0	1.0	1.0	
PB.161541.3	Patient2	0	0	0	2	4	3	0	9	0	1085		8294.930875576038		5.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	9.0		1.0	0.14285714285714285	0.0	0.0						
PB.161541.3	Patient20	0	0	0	3	3	3	0	9	0	1738		5178.3659378596085		9.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	13.0		0.6923076923076923	0.0	0.0	0.0						
PB.161541.3	Patient21	0	0	0	0	4	4	0	8	0	1328		6024.096385542169		8.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	8.0		1.0	0.0	0.0	0.0						
PB.161541.3	Patient22	0	0	0	1	2	2	0	5	0	2106		2374.1690408357076		18.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	6.0		0.8333333333333334	0.0	0.0	0.0						
PB.161541.3	Patient23	0	0	0	3	2	0	0	5	0	1159		4314.063848144952		12.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	14.0		0.35714285714285715	1.0	0.0	0.0						
PB.161541.3	Patient24	0	0	0	0	2	0	0	2	0	1661		1204.0939193257075		26.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	11.0		0.18181818181818182	1.0	0.0	0.0						
PB.161541.3	Patient25	0	0	0	2	0	1	0	3	0	1946		1541.623843782117		23.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	6.0		0.5	-1.0	0.0	0.0						
PB.161541.3	Patient26	0	0	0	9	7	8	0	24	0	1469		16337.644656228726		1.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	26.0		0.9230769230769231	-0.06666666666666667	0.6638783900937345	1.2536704212847116						
PB.161541.3	Patient27	0	0	0	2	1	3	0	6	0	1439		4169.562195969423		13.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	11.0		0.5454545454545454	-0.5	0.0	0.0						
PB.161541.3	Patient28	0	0	0	0	0	3	0	3	0	1202		2495.840266222962		17.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	5.0		0.6	-1.0	0.0	0.0						
PB.161541.3	Patient29	0	0	0	2	0	2	0	4	0	1857		2154.0118470651587		20.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	8.0		0.5	-1.0	0.0	0.0						
PB.161541.3	Patient3	0	0	0	3	1	2	0	6	0	2019		2971.7682020802376		16.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	7.0		0.8571428571428571	-0.3333333333333333	0.0	0.0						
PB.161541.3	Patient30	0	0	0	9	5	5	0	19	0	1808		10508.849557522124		3.0		2971.7682020802376		4217.210237181577	novelGene_SRSF6_AS	0.0	21.0		0.9047619047619048	0.0	0.0	0.0						
