associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
HARS1	Patient10	0	402	0.0	288378.7661406025	0	1394	0	0	0	149	148	105	16.0	25.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	-0.5868418308419633	-39.41200185210029	0.3622525219645829	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient11	0	252	0.0	184345.28163862473	0	1367	0	0	0	87	82	83	16.0	30.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	-1.7001650107679362	-27.521613724994822	1.1936322819301757	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient12	0	520	0.0	290340.59184812946	0	1791	0	0	0	168	175	177	16.0	23.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	-0.5658471862271048	-39.592163423240976	0.34965556699819944						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient13	0	548	0.0	247069.43192064922	0	2218	0	0	0	191	182	175	16.0	28.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	-1.0289171833551138	-35.30369797253486	0.6495064498218801	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient14	0	464	0.0	271662.7634660422	0	1708	0	0	0	152	157	155	16.0	27.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	-0.7657295547549194	-37.825249127386485	0.4731987825319788						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient2	0	71	0.0	65437.78801843317	0	1085	0	0	0	24	28	19	16.0	31.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	-2.9726636639466855	27.521613724994825	5.042272438661875	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient28	0	246	0.0	204658.90183028285	0	1202	0	0	0	88	86	72	16.0	29.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	-1.4827770771055266	-30.299379542012723	0.9994100031024151	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient29	0	544	0.0	292945.6112008616	0	1857	0	0	0	186	181	177	16.0	22.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	-0.5379693501300425	-39.82951943437207	0.33305955840275975						Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient30	0	512	0.0	283185.8407079646	0	1808	0	0	0	190	166	156	16.0	26.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	-0.6424143638918679	-38.92913568696406	0.3960146794463329	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
HARS1	Patient31	0	537	0.0	289020.45209903124	0	1858	0	0	0	185	174	178	16.0	24.0	0.0	350427.35042735044	0.0	343215.6738910269	343215.6738910269	93444.101746714	-0.5799747739979899	-39.47106473009106	0.3581228265499391	1.0	1.0	1.0	1.0	1.0	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive
