associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
DND1_HARS1	Patient14	0	0	0.0	0.0	1161	1708	0	0	0	0	0	0	27.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient16	5	0	3584.2293906810037	0.0	1395	1271	1	4	0	0	0	0	16.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient17	6	0	6153.846153846154	0.0	975	1227	2	2	2	0	0	0	8.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient18	2	0	2024.2914979757086	0.0	988	1387	1	1	0	0	0	0	20.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient21	7	0	4940.014114326041	0.0	1417	1328	3	2	2	0	0	0	10.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient22	6	0	4914.004914004914	0.0	1221	2106	1	1	4	0	0	0	11.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient24	7	0	6610.0094428706325	0.0	1059	1661	2	2	3	0	0	0	7.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient25	4	0	2915.451895043732	0.0	1372	1946	2	1	1	0	0	0	18.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient26	8	0	4733.7278106508875	0.0	1690	1469	4	2	2	0	0	0	12.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient28	15	0	10183.299389002037	0.0	1473	1202	5	4	6	0	0	0	4.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient29	9	0	8620.689655172413	0.0	1044	1857	2	5	2	0	0	0	5.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient30	12	0	7237.6357056694815	0.0	1658	1808	5	4	3	0	0	0	6.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient31	10	0	10351.966873706004	0.0	966	1858	2	2	6	0	0	0	3.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
