associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
DND1_HARS1	Patient1	5	0	2628.8117770767612	0.0	1902	1717	0	2	3	0	0	0	19.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614						
DND1_HARS1	Patient14	0	0	0.0	0.0	1161	1708	0	0	0	0	0	0	27.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient15	6	1	4360.46511627907	388.65137971239795	1376	2573	4	2	0	0	1	0	14.0	16.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.5320546328506778	-70.38321777713331	-0.7890243818779594						
DND1_HARS1	Patient16	5	0	3584.2293906810037	0.0	1395	1271	1	4	0	0	0	0	16.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient17	6	0	6153.846153846154	0.0	975	1227	2	2	2	0	0	0	8.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient18	2	0	2024.2914979757086	0.0	988	1387	1	1	0	0	0	0	20.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient19	5	1	4068.3482506102523	645.9948320413437	1229	1548	1	3	1	0	1	0	15.0	14.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.45737696051828636	-71.12556015999279	-0.8055444162117557						
DND1_HARS1	Patient20	1	1	529.6610169491526	575.3739930955121	1888	1738	0	0	1	0	0	1	22.0	15.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.4778701956206671	-69.8554158865593	-0.771405883550802						
DND1_HARS1	Patient21	7	0	4940.014114326041	0.0	1417	1328	3	2	2	0	0	0	10.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
DND1_HARS1	Patient22	6	0	4914.004914004914	0.0	1221	2106	1	1	4	0	0	0	11.0	24.0	3584.2293906810037	388.65137971239795	4389.119136742791	2222.141521664957	2222.141521664957	3446.0561542880723	-0.6448361321390115	0.0	1.5604302654287614	1.0	1.0	1.0	1.0	1.0	
